tot CaCO3Powder mass (g),>212-212 µm CaCO3Powder mass (g),212-150 µm CaCO3Powder mass (g),150-125 µm CaCO3Powder mass (g),125-63 µm CaCO3Powder mass (g),63-<63 µm CaCO3Powder mass (g),tot CaCO3Pellet _mass_(g) ,<-710 µmPellet _mass_(g) ,710-600 µmPellet _mass_(g) ,600-500 µmPellet _mass_(g) ,500-425 µmPellet _mass_(g) ,425-355 µmPellet _mass_(g) ,355-300 µmPellet _mass_(g) ,300-250 µmPellet _mass_(g) ,250-212 µmPellet _mass_(g) ,212-150 µmPellet _mass_(g) ,150-63 µmPellet _mass_(g) ,63-> µmPellet _mass_(g) ,tot HBr_CaC03_mass_(g) ,<-710 µmHBr_CaC03_mass_(g) ,710-600 µmHBr_CaC03_mass_(g) ,600-500 µmHBr_CaC03_mass_(g) ,500-425 µmHBr_CaC03_mass_(g) ,425-355 µmHBr_CaC03_mass_(g) ,355-300 µmHBr_CaC03_mass_(g) ,300-250 µmHBr_CaC03_mass_(g) ,250-212 µmHBr_CaC03_mass_(g) ,212-150 µmHBr_CaC03_mass_(g) ,150-63 µmHBr_CaC03_mass_(g) ,63-> µmHBr_CaC03_mass_(g) ,Calciner temp [°C],Calciner Heater kW,Calciner Pressure ( Pa ),Calciner  velocity (m/s),Calciner CO2 in(%vol),Calciner O2 in(%vol),Calciner N2 in(%vol),Calciner top temp ( °C ),Calcinator CO2 out(%),Calcinator CO out(ppm),Calcinator CH4 out(ppm),Calcinator O2 out(%),Carbonator bottom temp ( C),Carbonator mid temp ( C),Carbonator press (pa),Carbonator velocity (m/s),Carbonator inlet CO2 (%vol),Carbonator inlet N2 (%vol),Carbonator top temp ( C),Carbonator outlet CO2 (%vol)
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,2899,0,0,0,0,370.1593519,1475.537315,998.8128704,34.35851852,3.221111111,3.757962963,9.394907407,752.93,7.4,3077.5,0.3,0,40,60,645.53,5.58950065,3192.8707,3539.39805,0.97051477,497.265,567.14,5100,2.5,0,100,556.595,-2.53
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,2899,0,0,0,0,370.1593519,1475.537315,998.8128704,34.35851852,3.221111111,3.757962963,9.394907407,777.5,7.4,3120.5,0.3,0,40,60,640.19,5.6491821,3330.4801,3393.7864,1.0821817,499.795,567.935,5245.5,2.5,0,100,557.615,-2.53
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,2899,0,0,0,0,370.1593519,1475.537315,998.8128704,34.35851852,3.221111111,3.757962963,9.394907407,792.25,7.4,3149.5,0.3,0,40,60,633.405,6.8243104,3207.66635,2892.78005,3.94528925,506.425,567.2,5557,2.5,0,100,559.06,-2.53
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,2899,0,0,0,0,370.1593519,1475.537315,998.8128704,34.35851852,3.221111111,3.757962963,9.394907407,804.57,7.4,3085,0.3,0,40,60,638.05,8.3906967,2334.3446,1746.2599,7.4328436,510.265,567.48,5684.5,2.5,0,100,560.46,-2.52
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,2899,0,0,0,0,370.1593519,1475.537315,998.8128704,34.35851852,3.221111111,3.757962963,9.394907407,812.16,7.4,3046,0.3,0,40,60,639.555,9.5433939,1697.5989,803.36353,7.6928394,513.34,568.44,5756,2.5,0,100,561.645,-2.51
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,2899,0,0,0,0,370.1593519,1475.537315,998.8128704,34.35851852,3.221111111,3.757962963,9.394907407,816.82,7.4,3083,0.3,0,40,60,640.74,10.85811,1440.32025,448.723515,7.82699645,514.975,570,5813.5,2.5,0,100,562.16,-2.53
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,2899,0,0,0,0,370.1593519,1475.537315,998.8128704,34.35851852,3.221111111,3.757962963,9.394907407,820.13,12,3178,0.4,0,50,50,675.91,11.910928,1400.219,400.04504,8.5349154,519.28,570.235,6209.5,2.5,0,100,562.95,-2.51
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,2899,0,0,0,0,370.1593519,1475.537315,998.8128704,34.35851852,3.221111111,3.757962963,9.394907407,829.95,12,3071,0.4,0,50,50,691.17,13.475155,1883.0282,715.26461,6.0489261,522.72,570.62,6384,2.5,0,100,564.095,-2.51
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,2899,0,0,0,0,370.1593519,1475.537315,998.8128704,34.35851852,3.221111111,3.757962963,9.394907407,836.27,12,3028,0.4,0,50,50,696.24,16.669615,2822.7152,1315.4197,5.0202167,523.76,571.46,6455.5,2.5,0,100,565.115,-2.51
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,839.19,12,2983.5,0.4,0,50,50,695.525,19.065152,3340.3769,1628.9205,4.8460709,526.455,572.05,6494.5,2.5,0,100,565.545,-2.55
