Duration,HBr_CaC03_mass_(g) ,Calciner temp [°C],Calciner Heater kW,Calciner Pressure ( Pa ),Calciner  velocity (m/s),Calciner O2 in(%vol),Calciner N2 in(%vol),Calciner top temp ( °C ),Calciner CO2 out(%),Calciner O2 out(%),Calciner H2O out(%),Calciner CO out(ppm),Calciner CH4 out(ppm),Run status,Carbonator bottom temp ( C),Carbonator mid temp ( C),Carbonator press (pa),Carbonator velocity (m/s),Carbonator inlet CO2 (%vol),Carbonator inlet N2 (%vol),Carbonator outlet CO2 (%vol),Carbonator top temp ( C),Rank
32.04,7034,699.41,7.8,3864.5,0.32,40,60,541.78,1.1101061,14.267238,0,966.82101,2783.0653,0,481.975,570.595,3762,2.5,0,100,-0.3094,562.7,1
33.04,7034,694.61,0,3885,0,0,0,540.005,0.98944817,14.629652,0.96297734,294.10688,1526.9448,0,481.665,571.84,3729,2.5,0,100,-0.2618,562.745,1
34.04,7034,690.4,0,3889,0,0,0,535.655,0.8228892,14.719942,0.65384361,59.5865895,255.809875,0,479.705,572.955,3705.5,2.5,0,100,-0.238,561.84,1
35.04,7034,687.49,0,3868,0,0,0,534.725,0.73145477,14.662532,0.21535345,10.621038,40.881635,0,482.49,571.475,3753.5,2.5,0,100,-0.2023,563.025,1
36.04,7034,685.84,0,3915.5,0,0,0,533.735,0.6811613,14.597247,0.11235185,4.3472604,13.506299,0,485.505,574.065,3658,2.5,0,100,-0.2142,563.76,1
37.04,7034,685.74,0,3915,0,0,0,533.485,0.66263344,6.66694695,0.015640974,2.01102035,4.66407145,0,486.945,573.725,3676.5,2.5,0,100,-0.0595,563.44,1
38.04,7034,685.97,0,3889.5,0,0,0,531.27,0.68964597,1.6259313,0,1.464474,3.6933996,0,491.245,573.915,3722.5,2.5,0,100,0.1309,565.065,1
39.05,7034,685.3,0,3895.5,0,0,0,530.21,0.698155235,0.53017053,0.015764117,1.08582019,3.9981406,0,493.27,575.04,3730.5,2.5,0,100,0.2023,565.465,1
40.05,7034,684.74,0,4017.5,0,0,0,530.455,0.68114115,0.28793128,0.018732648,0.78790155,3.8871547,0,495.83,575.89,3457.5,2.5,0,100,0.1785,566.85,1
41.05,7034,684.6,0,3274,0,0,0,502.55,0.68005607,0.21354987,0,0.68324449,3.7418505,0,498.655,579.42,1631,2.5,0,100,0.1904,557.47,1
42.05,7034,685.78,0,3129.5,0,0,0,486.225,0.779110565,0.43776855,0.038243293,1.04863395,5.2532673,0,491.23,579.955,1631.5,2.5,0,100,0.2975,554.925,1
43.05,7034,687.31,0,3123,0,0,0,485.695,0.89601812,0.40057632,0.10478443,1.2858138,5.8530555,0,487.98,581.465,1626.5,2.5,0,100,0.3094,555.865,1
44.05,7034,688.82,0,3126.5,0,0,0,481.295,0.955946785,0.53206491,0.1074588,2.031987,6.3339053,0,485.595,582.535,1628,2.5,0,100,0.1785,556.695,1
45.05,7034,690.44,0,3122.5,0,0,0,478.815,1.006555,0.66227994,0.10017921,3.2278564,8.6181797,0,483.71,583.455,1623.5,2.5,0,100,0.5117,557.42,1
46.06,7034,691.74,0,3121,0,0,0,479.46,1.0326074,0.65345301,0.12430979,3.5152878,9.2670103,0,481.96,584.53,1628,2.5,0,100,0.4998,558.22,1
47.06,7034,693.01,0,3119.5,0,0,0,479.535,1.0563087,0.697160745,0.074709421,3.28891675,8.7985933,0,480.795,584.8,1629.5,2.5,0,100,0.595,558.56,1
48.06,7034,694.3,0,3123.5,0,0,0,482.555,1.1026558,0.963903,0.049030329,2.9158435,7.5829596,0,479.66,585.06,1627.5,2.5,0,100,0.6188,558.915,1
49.06,7034,695.55,0,3118.5,0,0,0,486.47,1.1563876,0.73940264,0.056510645,2.4557559,6.2770545,0,478.605,585.38,1625.5,2.5,0,100,0.595,559.195,1
50.06,7034,696.78,0,3120.5,0,0,0,483.34,1.1765735,0.62701023,0.070979788,1.9400665,5.2370055,0,477.66,585.41,1626,2.5,0,100,0.595,559.33,1
51.06,7034,697.93,0,3121,0,0,0,481.635,1.1931995,0.70195305,0.065118617,1.5983031,4.7290291,0,476.71,585.275,1625.5,2.5,0,100,0.595,559.39,1
52.06,7034,699.04,0,3117.5,0,0,0,475.26,1.24114635,0.71833833,0.062792646,1.28877455,4.19839765,0,475.64,585.32,1624,2.5,0,100,0.5593,559.515,1
53.07,7034,700.22,0,3121,0,0,0,483.765,1.270084,0.77427228,0.046160836,1.171501,3.8239394,0,474.82,584.775,1621.5,2.5,0,100,0.5474,559.315,1
54.07,7034,701.19,0,3118,0,0,0,477.765,1.3009715,0.73940822,0.028913341,1.1742354,3.5920005,0,474.065,584.67,1620.5,2.5,0,100,0.3213,559.375,1
55.07,7034,702.11,0,3121,0,0,0,478.285,1.337759,0.701211885,0.084200222,1.1986749,5.640635,0,473.25,584.29,1620.5,2.5,0,100,0.2856,559.2,1
56.07,7034,703.08,0,3119,0,0,0,475.075,1.3483047,0.84887726,0.092425484,1.3053617,6.7503977,0,472.72,583.825,1621,2.5,0,100,0.4998,559.05,1
57.07,7034,703.93,0,3116,0,0,0,478.08,1.3692049,0.71789871,0.051686404,1.15632175,5.17103065,0,471.815,583.565,1622,2.5,0,100,0.3689,559.055,1
58.07,7034,704.7,0,3113.5,0,0,0,481.015,1.4130305,0.66301555,0.065131249,0.98317847,4.3908831,0,471.305,583.14,1620.5,2.5,0,100,0.2618,558.9,1
59.07,7034,705.39,0,3114,0,0,0,479.965,1.4435188,0.69962184,0.040345369,0.97821076,4.0964587,0,470.77,582.945,1619.5,2.5,0,100,0.4403,558.885,1
60.07,7034,706.27,0,3111,0,0,0,478.27,1.460015,0.71988282,0.044330939,0.974843395,3.8371268,0,470.245,582.46,1618.5,2.5,0,100,0.4046,558.685,1
61.08,7034,707.07,0,3110.5,0,0,0,473.86,1.4673188,0.69962184,0.06775918,0.65244452,3.6445591,0,469.865,582.2,1615,2.5,0,100,0.4641,558.625,1
62.08,7034,707.9,0,3111,0,0,0,471.885,1.51141465,0.60661367,0.092909694,0.271320765,3.4941304,0,469.475,581.89,1616,2.5,0,100,0.4046,558.615,1
63.08,7034,708.48,0,3107,0,0,0,474.81,1.5581922,0.81157984,0.060536295,0.41696122,3.4005123,0,469.16,581.805,1614,2.5,0,100,0.4403,558.74,1
64.08,7034,709.09,0,3111,0,0,0,475.53,1.5685481,0.77255237,0.036440076,0.46426018,3.3771912,0,468.815,581.95,1612.5,2.5,0,100,0.2499,558.95,1
65.08,7034,709.74,0,3421,0,0,0,487.68,1.57776545,0.588447285,0.056227071,2.625036095,89.78206065,0,468.68,581.66,1674,2.5,0,100,0.357,558.975,1
66.08,7034,709.82,0,3800.5,0,0,0,508.02,1.6561657,13.138549,0.21517751,8.4446353,317.05299,0,466.88,581.39,1782,2.5,0,100,0.3332,558.885,1
67.08,7034,710.37,7.8,3771,0.32,40,60,511.13,1.84942645,23.2023895,0.296903175,10.7687458,276.110935,0,464.515,580.775,1864,2.5,0,100,0.0833,558.435,1
68.08,7034,713.94,7.8,3740,0.32,40,60,534.135,2.3253751,21.942242,0.62838148,202.95458,111.0105,0,463.995,580.295,1982.5,2.5,0,100,0.0714,558.4,1
69.09,7034,727.97,7.8,3704,0.32,40,60,562.125,3.3251475,17.799125,2.4105863,761.44369,193.64339,0,464.07,579.6,2124,2.5,0,100,0.119,558.29,1
70.09,7034,748.69,7.8,3570,0.32,40,60,575.875,7.6557822,5.6870792,8.01785025,3079.4131,756.313845,0,465.175,579.335,2267,2.5,0,100,0.6545,558.355,2
71.09,7034,766.32,7.8,3465.5,0.32,40,60,586.02,12.61104,2.8432548,13.32943,5395.8671,1358.4477,0,467.665,579.43,2368,2.5,0,100,0.9163,558.59,2
72.09,8406,781.03,7.8,3409.5,0.32,40,60,595.84,14.876534,2.6687369,15.174326,5966.8085,1532.4402,0,469.765,579.765,2484.5,2.5,0,100,0.952,558.71,3
73.09,8406,790.36,7.8,3516.5,0.32,40,60,604.875,17.2054235,2.2725303,16.5959825,6332.3593,1587.951,0,472.025,580.07,2565,2.5,0,100,1.2138,558.945,3
74.09,8406,737.16,7.8,3796.5,0.32,40,60,595.785,18.30184,2.4541686,17.549511,7015.1051,1773.8229,0,474.205,580.135,2703,2.5,0,100,1.3923,559.315,3
75.09,8406,750.91,7.8,3702.5,0.32,40,60,601.72,16.287432,4.35691855,18.7283775,7641.30265,2074.52655,0,477.3,580.42,2898,2.5,0,100,0.7616,558.99,3
76.09,8406,758.32,7.8,3765.5,0.32,40,60,599.835,14.047809,5.7166768,19.254375,6345.8288,1588.5526,0,480.985,581.14,3127,2.5,0,100,0.833,559.255,3
77.1,8406,755.96,7.8,3566,0.32,40,60,618.295,13.556007,6.1830342,18.953194,4836.5913,974.17043,0,504.19,567.72,5111.5,2.5,0,100,0.8092,562.62,2
78.1,8406,766.02,7.8,3657.5,0.32,40,60,617.96,11.503572,4.73381865,18.6264455,4251.99135,960.88307,0,525.955,569.01,4914.5,2.5,0,100,0.2618,570.76,2
79.1,8406,771.92,7.8,3718.5,0.32,40,60,622.555,8.4799042,4.4812841,17.521885,4145.6332,1068.7215,0,530.085,570.31,4793.5,2.5,0,100,0.0119,572.52,2
80.1,8406,779.44,7.8,3713.5,0.32,40,60,627.975,7.3356844,3.28973405,15.913215,4538.27625,1265.41465,0,533.965,570.85,4807,2.5,0,100,0.0238,573.245,2
81.1,8406,786.16,7.8,3721.5,0.32,40,60,627.16,7.7253257,2.4817018,14.940963,5503.678,1692.8998,0,537.81,572.34,4798.5,2.5,0,100,0.0238,573.64,2
82.1,8406,790.82,7.8,3678,0.32,40,60,630.425,8.1650369,2.5864295,14.493317,5999.243,1971.0468,0,541.42,573.035,4846.5,2.5,0,100,0.0357,573.54,2
83.1,8406,795.41,7.8,3659.5,0.32,40,60,632.805,8.68083325,2.6340737,13.7137125,5880.62525,2096.64455,0,544.465,573.735,4897.5,2.5,0,100,0.0357,573.65,2
84.11,8406,797.41,7.8,3643,0.32,40,60,634.995,9.0732223,2.8559008,13.186685,5764.9157,2196.7544,0,546.495,574.355,4895,2.5,0,100,0,574.495,2
85.11,8406,801.03,7.8,3693,0.32,40,60,612.45,9.2091527,2.7878753,12.979907,5638.0791,2116.6274,0,548.805,574.875,5096.5,2.5,0,100,0,574.76,2
86.11,8406,806.86,16,3720,0.32,100,0,607.33,9.3449065,15.9107485,12.5166625,4339.98265,1420.43875,0,550.575,575.99,5049.5,2.5,0,100,-0.2142,575.345,2
87.11,8406,813.07,16,3687,0.32,100,0,626.785,9.5968435,22.463503,11.75685,2517.488,591.00276,0,554.995,577.52,5182,2.5,0,100,-0.2856,575.99,2
88.11,8406,831.35,16,3546,0.32,100,0,652.715,12.4733945,15.6444105,12.241704,2084.66305,326.024785,0,562.78,580.87,5571,2.5,0,100,-0.3094,577.765,2
89.11,8406,842.88,16,3439,0.32,100,0,667.775,18.202546,12.064529,14.678346,2516.5401,431.40513,0,567.43,583.155,5815.5,2.5,0,100,-0.3213,579.295,3
90.11,8406,849.85,16,3327.5,0.32,100,0,687.47,22.269796,10.283543,16.739508,2770.5344,561.59172,0,570.66,585.22,6040.5,2.5,0,100,-0.3094,580.49,4
91.11,8406,854.68,16,3250.5,0.32,100,0,714.655,26.731795,8.28040285,19.3918775,3091.09995,809.68208,0,573.305,587.265,6214,2.5,0,100,-0.3332,582.16,4
92.12,8406,858.89,16,3167.5,0.32,100,0,724.04,30.388052,6.2888965,22.592542,3955.7238,1256.3201,0,574.91,588.86,6302,2.5,0,100,-0.3451,583.25,5
93.12,8406,861.19,16,3135.5,0.32,100,0,744,32.90597,5.0027835,25.7696195,5145.0998,2059.0248,0,576.155,589.815,6361,2.5,0,100,-0.357,584.39,5
94.12,8406,862.69,16,3106.5,0.32,100,0,744.87,34.537339,4.5274756,28.289314,5928.048,2992.8918,0,576.855,590.62,6350,2.5,0,100,-0.357,585.19,6
95.12,8406,863.96,16,3056.5,0.32,100,0,751.035,35.173278,4.4599553,29.611251,6065.2312,3178.8118,0,577.93,591.835,6357.5,2.5,0,100,-0.3451,586.39,6
