HBr_CaC03_mass_(g) ,Calciner temp [°C],Calciner Heater kW,Calciner Pressure ( Pa ),Calciner  velocity (m/s),Calciner O2 in(%vol),Calciner N2 in(%vol),Calciner top temp ( °C ),Calciner O2 out(%),Calciner H2O out(%),Calciner CO out(ppm),Calciner CH4 out(ppm),Run status,Carbonator bottom temp ( C),Carbonator mid temp ( C),Carbonator press (pa),Carbonator velocity (m/s),Carbonator inlet CO2 (%vol),Carbonator inlet N2 (%vol),Carbonator outlet CO2 (%vol),Carbonator top temp ( C),rank
7034,690.4,0,3889,0,0,0,535.655,14.719942,0.65384361,59.5865895,255.809875,0,479.705,572.955,3705.5,2.5,0,100,-0.238,561.84,1
7034,687.49,0,3868,0,0,0,534.725,14.662532,0.21535345,10.621038,40.881635,0,482.49,571.475,3753.5,2.5,0,100,-0.2023,563.025,1
7034,685.84,0,3915.5,0,0,0,533.735,14.597247,0.11235185,4.3472604,13.506299,0,485.505,574.065,3658,2.5,0,100,-0.2142,563.76,1
7034,685.74,0,3915,0,0,0,533.485,6.66694695,0.015640974,2.01102035,4.66407145,0,486.945,573.725,3676.5,2.5,0,100,-0.0595,563.44,1
7034,685.97,0,3889.5,0,0,0,531.27,1.6259313,0,1.464474,3.6933996,0,491.245,573.915,3722.5,2.5,0,100,0.1309,565.065,1
7034,685.3,0,3895.5,0,0,0,530.21,0.53017053,0.015764117,1.08582019,3.9981406,0,493.27,575.04,3730.5,2.5,0,100,0.2023,565.465,1
7034,684.74,0,4017.5,0,0,0,530.455,0.28793128,0.018732648,0.78790155,3.8871547,0,495.83,575.89,3457.5,2.5,0,100,0.1785,566.85,1
7034,684.6,0,3274,0,0,0,502.55,0.21354987,0,0.68324449,3.7418505,0,498.655,579.42,1631,2.5,0,100,0.1904,557.47,1
7034,685.78,0,3129.5,0,0,0,486.225,0.43776855,0.038243293,1.04863395,5.2532673,0,491.23,579.955,1631.5,2.5,0,100,0.2975,554.925,1
7034,687.31,0,3123,0,0,0,485.695,0.40057632,0.10478443,1.2858138,5.8530555,0,487.98,581.465,1626.5,2.5,0,100,0.3094,555.865,1
7034,688.82,0,3126.5,0,0,0,481.295,0.53206491,0.1074588,2.031987,6.3339053,0,485.595,582.535,1628,2.5,0,100,0.1785,556.695,1
7034,690.44,0,3122.5,0,0,0,478.815,0.66227994,0.10017921,3.2278564,8.6181797,0,483.71,583.455,1623.5,2.5,0,100,0.5117,557.42,1
7034,691.74,0,3121,0,0,0,479.46,0.65345301,0.12430979,3.5152878,9.2670103,0,481.96,584.53,1628,2.5,0,100,0.4998,558.22,1
7034,693.01,0,3119.5,0,0,0,479.535,0.697160745,0.074709421,3.28891675,8.7985933,0,480.795,584.8,1629.5,2.5,0,100,0.595,558.56,1
7034,694.3,0,3123.5,0,0,0,482.555,0.963903,0.049030329,2.9158435,7.5829596,0,479.66,585.06,1627.5,2.5,0,100,0.6188,558.915,1
7034,695.55,0,3118.5,0,0,0,486.47,0.73940264,0.056510645,2.4557559,6.2770545,0,478.605,585.38,1625.5,2.5,0,100,0.595,559.195,1
7034,696.78,0,3120.5,0,0,0,483.34,0.62701023,0.070979788,1.9400665,5.2370055,0,477.66,585.41,1626,2.5,0,100,0.595,559.33,1
7034,697.93,0,3121,0,0,0,481.635,0.70195305,0.065118617,1.5983031,4.7290291,0,476.71,585.275,1625.5,2.5,0,100,0.595,559.39,1
7034,699.04,0,3117.5,0,0,0,475.26,0.71833833,0.062792646,1.28877455,4.19839765,0,475.64,585.32,1624,2.5,0,100,0.5593,559.515,1
7034,700.22,0,3121,0,0,0,483.765,0.77427228,0.046160836,1.171501,3.8239394,0,474.82,584.775,1621.5,2.5,0,100,0.5474,559.315,1
7034,701.19,0,3118,0,0,0,477.765,0.73940822,0.028913341,1.1742354,3.5920005,0,474.065,584.67,1620.5,2.5,0,100,0.3213,559.375,1
7034,702.11,0,3121,0,0,0,478.285,0.701211885,0.084200222,1.1986749,5.640635,0,473.25,584.29,1620.5,2.5,0,100,0.2856,559.2,1
7034,703.08,0,3119,0,0,0,475.075,0.84887726,0.092425484,1.3053617,6.7503977,0,472.72,583.825,1621,2.5,0,100,0.4998,559.05,1
7034,703.93,0,3116,0,0,0,478.08,0.71789871,0.051686404,1.15632175,5.17103065,0,471.815,583.565,1622,2.5,0,100,0.3689,559.055,1
7034,704.7,0,3113.5,0,0,0,481.015,0.66301555,0.065131249,0.98317847,4.3908831,0,471.305,583.14,1620.5,2.5,0,100,0.2618,558.9,1
7034,705.39,0,3114,0,0,0,479.965,0.69962184,0.040345369,0.97821076,4.0964587,0,470.77,582.945,1619.5,2.5,0,100,0.4403,558.885,1
7034,706.27,0,3111,0,0,0,478.27,0.71988282,0.044330939,0.974843395,3.8371268,0,470.245,582.46,1618.5,2.5,0,100,0.4046,558.685,1
7034,707.07,0,3110.5,0,0,0,473.86,0.69962184,0.06775918,0.65244452,3.6445591,0,469.865,582.2,1615,2.5,0,100,0.4641,558.625,1
7034,707.9,0,3111,0,0,0,471.885,0.60661367,0.092909694,0.271320765,3.4941304,0,469.475,581.89,1616,2.5,0,100,0.4046,558.615,1
7034,708.48,0,3107,0,0,0,474.81,0.81157984,0.060536295,0.41696122,3.4005123,0,469.16,581.805,1614,2.5,0,100,0.4403,558.74,1
7034,709.09,0,3111,0,0,0,475.53,0.77255237,0.036440076,0.46426018,3.3771912,0,468.815,581.95,1612.5,2.5,0,100,0.2499,558.95,1
7034,709.74,0,3421,0,0,0,487.68,0.588447285,0.056227071,2.625036095,89.78206065,0,468.68,581.66,1674,2.5,0,100,0.357,558.975,1
7034,709.82,0,3800.5,0,0,0,508.02,13.138549,0.21517751,8.4446353,317.05299,0,466.88,581.39,1782,2.5,0,100,0.3332,558.885,1
7034,710.37,7.8,3771,0.32,40,60,511.13,23.2023895,0.296903175,10.7687458,276.110935,0,464.515,580.775,1864,2.5,0,100,0.0833,558.435,1
7034,713.94,7.8,3740,0.32,40,60,534.135,21.942242,0.62838148,202.95458,111.0105,0,463.995,580.295,1982.5,2.5,0,100,0.0714,558.4,1
7034,727.97,7.8,3704,0.32,40,60,562.125,17.799125,2.4105863,761.44369,193.64339,0,464.07,579.6,2124,2.5,0,100,0.119,558.29,1
7034,748.69,7.8,3570,0.32,40,60,575.875,5.6870792,8.01785025,3079.4131,756.313845,0,465.175,579.335,2267,2.5,0,100,0.6545,558.355,2
7034,766.32,7.8,3465.5,0.32,40,60,586.02,2.8432548,13.32943,5395.8671,1358.4477,0,467.665,579.43,2368,2.5,0,100,0.9163,558.59,2
8406,781.03,7.8,3409.5,0.32,40,60,595.84,2.6687369,15.174326,5966.8085,1532.4402,0,469.765,579.765,2484.5,2.5,0,100,0.952,558.71,3
8406,790.36,7.8,3516.5,0.32,40,60,604.875,2.2725303,16.5959825,6332.3593,1587.951,0,472.025,580.07,2565,2.5,0,100,1.2138,558.945,3
8406,737.16,7.8,3796.5,0.32,40,60,595.785,2.4541686,17.549511,7015.1051,1773.8229,0,474.205,580.135,2703,2.5,0,100,1.3923,559.315,3
8406,750.91,7.8,3702.5,0.32,40,60,601.72,4.35691855,18.7283775,7641.30265,2074.52655,0,477.3,580.42,2898,2.5,0,100,0.7616,558.99,3
8406,758.32,7.8,3765.5,0.32,40,60,599.835,5.7166768,19.254375,6345.8288,1588.5526,0,480.985,581.14,3127,2.5,0,100,0.833,559.255,3
8406,755.96,7.8,3566,0.32,40,60,618.295,6.1830342,18.953194,4836.5913,974.17043,0,504.19,567.72,5111.5,2.5,0,100,0.8092,562.62,2
8406,766.02,7.8,3657.5,0.32,40,60,617.96,4.73381865,18.6264455,4251.99135,960.88307,0,525.955,569.01,4914.5,2.5,0,100,0.2618,570.76,2
8406,771.92,7.8,3718.5,0.32,40,60,622.555,4.4812841,17.521885,4145.6332,1068.7215,0,530.085,570.31,4793.5,2.5,0,100,0.0119,572.52,2
8406,779.44,7.8,3713.5,0.32,40,60,627.975,3.28973405,15.913215,4538.27625,1265.41465,0,533.965,570.85,4807,2.5,0,100,0.0238,573.245,2
8406,786.16,7.8,3721.5,0.32,40,60,627.16,2.4817018,14.940963,5503.678,1692.8998,0,537.81,572.34,4798.5,2.5,0,100,0.0238,573.64,2
8406,790.82,7.8,3678,0.32,40,60,630.425,2.5864295,14.493317,5999.243,1971.0468,0,541.42,573.035,4846.5,2.5,0,100,0.0357,573.54,2
8406,795.41,7.8,3659.5,0.32,40,60,632.805,2.6340737,13.7137125,5880.62525,2096.64455,0,544.465,573.735,4897.5,2.5,0,100,0.0357,573.65,2
8406,797.41,7.8,3643,0.32,40,60,634.995,2.8559008,13.186685,5764.9157,2196.7544,0,546.495,574.355,4895,2.5,0,100,0,574.495,2
8406,801.03,7.8,3693,0.32,40,60,612.45,2.7878753,12.979907,5638.0791,2116.6274,0,548.805,574.875,5096.5,2.5,0,100,0,574.76,2
8406,806.86,16,3720,0.32,100,0,607.33,15.9107485,12.5166625,4339.98265,1420.43875,0,550.575,575.99,5049.5,2.5,0,100,-0.2142,575.345,2
8406,813.07,16,3687,0.32,100,0,626.785,22.463503,11.75685,2517.488,591.00276,0,554.995,577.52,5182,2.5,0,100,-0.2856,575.99,2
8406,831.35,16,3546,0.32,100,0,652.715,15.6444105,12.241704,2084.66305,326.024785,0,562.78,580.87,5571,2.5,0,100,-0.3094,577.765,2
8406,842.88,16,3439,0.32,100,0,667.775,12.064529,14.678346,2516.5401,431.40513,0,567.43,583.155,5815.5,2.5,0,100,-0.3213,579.295,3
8406,849.85,16,3327.5,0.32,100,0,687.47,10.283543,16.739508,2770.5344,561.59172,0,570.66,585.22,6040.5,2.5,0,100,-0.3094,580.49,4
8406,854.68,16,3250.5,0.32,100,0,714.655,8.28040285,19.3918775,3091.09995,809.68208,0,573.305,587.265,6214,2.5,0,100,-0.3332,582.16,4
8406,858.89,16,3167.5,0.32,100,0,724.04,6.2888965,22.592542,3955.7238,1256.3201,0,574.91,588.86,6302,2.5,0,100,-0.3451,583.25,5
8406,861.19,16,3135.5,0.32,100,0,744,5.0027835,25.7696195,5145.0998,2059.0248,0,576.155,589.815,6361,2.5,0,100,-0.357,584.39,5
8406,862.69,16,3106.5,0.32,100,0,744.87,4.5274756,28.289314,5928.048,2992.8918,0,576.855,590.62,6350,2.5,0,100,-0.357,585.19,6
8406,863.96,16,3056.5,0.32,100,0,751.035,4.4599553,29.611251,6065.2312,3178.8118,0,577.93,591.835,6357.5,2.5,0,100,-0.3451,586.39,6
8406,864.83,16,2993.5,0.32,100,0,758.565,4.0053724,31.1342775,6138.8984,3140.65575,0,580.135,592.895,6366.5,2.5,0,100,-0.3094,587.535,6
8406,865.96,16,2927,0.32,100,0,766.575,3.3187741,32.532353,6568.6943,3372.6852,0,583.145,594.235,6388.5,2.5,0,100,-0.3094,588.765,6
8406,866.65,16,2928.5,0.32,100,0,776.19,3.0595527,33.260303,6863.8414,3108.7358,0,582.295,594.81,6308.5,2.5,0,100,-0.2975,589.475,6
8406,867.76,16,2925,0.32,100,0,775.765,3.3384943,33.77418,6878.40645,2739.1532,0,583.89,595.355,6170,2.5,0,100,-0.2975,590.145,6
8406,869.02,16,2850,0.32,100,0,783.615,3.2565661,33.822629,6597.4208,3087.0244,0,587.06,597.32,6159.5,2.5,0,100,-0.2499,591.41,6
8406,869.5,16,2853.5,0.32,100,0,787.16,3.02790755,33.559753,6378.38535,3084.663,0,586.425,597.35,6034,2.5,0,100,-0.2499,591.85,6
8406,870.6,16,2831,0.32,100,0,786.345,2.5553656,33.565599,6508.8144,2394.8976,0,587.61,598.35,5909,2.5,0,100,-0.2499,592.615,6
8406,870.27,16,2818,0.32,100,0,790.01,2.5129513,33.783458,6712.2652,2696.7027,0,589.305,599.335,5818.5,2.5,0,100,-0.238,593.105,6
8406,871.09,16,2788,0.32,100,0,798.605,2.71037055,33.5037795,6824.9284,3363.96855,0,590.92,600.54,5749,2.5,0,100,-0.2261,594.23,6
8406,871.23,16,2788.5,0.32,100,0,794.185,2.2554253,33.199126,6694.79,2829.2846,0,592.325,601.125,5635,2.5,0,100,-0.2142,594.715,6
8406,871.82,16,2767.5,0.32,100,0,797.56,2.371122,33.23544,6680.8917,2708.7311,0,596.29,602.925,5575,2.5,0,100,-0.2142,595.9,6
8406,871.82,16,2781.5,0.32,100,0,805.08,2.45779095,33.0756535,6667.30215,3006.88165,0,596.265,603.28,5397,2.5,0,100,-0.2023,596.555,6
8406,873.01,16,2790.5,0.32,100,0,803.64,2.371122,33.036567,6547.3773,2953.7748,0,599.71,604.325,5292.5,2.5,0,100,-0.1904,597.595,6
8406,873.89,16,2741.5,0.32,100,0,811.88,2.46190045,33.235586,6371.4184,2813.1848,0,605.005,606.975,5264.5,2.5,0,100,-0.1666,599.725,6
8406,875.13,16,2719.5,0.32,100,0,817.995,2.3368281,33.338361,6227.9291,2559.6565,0,606.09,607.825,5227,2.5,0,100,-0.1666,600.42,6
8406,876.46,16,2717,0.32,100,0,814.87,2.4133355,33.391937,6147.1907,2503.5138,0,611.055,609.21,5079.5,2.5,0,100,-0.1547,601.775,6
8406,878.81,16,2695.5,0.32,100,0,820.525,2.41061795,33.2385935,5999.12155,2744.4917,0,615.615,610.895,5016.5,2.5,0,100,-0.1309,603.34,6
8406,880.77,16,2688.5,0.32,100,0,820.505,2.329059,33.129508,5860.7733,2865.7454,0,621.235,612.115,4926,2.5,0,100,-0.119,604.725,6
9774,886.54,16,2674,0.32,100,0,819.25,2.2050616,33.1795945,5748.43865,2282.5721,0,626.44,614.365,4857,2.5,0,100,-0.1071,606.61,5
9774,881.33,16,2939.5,0.32,100,0,807.245,1.929938,33.267812,5590.8515,2511.1294,0,625.565,615.185,4513.5,2.5,0,100,-0.119,606.965,5
9774,815.99,16,3113.5,0.32,100,0,803.51,2.1080237,33.402931,5544.6516,2941.9089,0,631.21,619.435,4785.5,2.5,0,100,-0.1071,611.16,5
9774,856.38,16,2938,0.32,100,0,819.235,2.64730975,33.721036,5404.5779,2916.6247,0,620.945,620.785,5278,2.5,0,100,-0.0238,613.17,4
9774,867.96,16,2843.5,0.32,100,0,823.47,2.6260691,33.796811,5452.3593,2778.1896,0,616.245,619.635,5412.5,2.5,0,100,-0.0714,612.35,4
9774,872.32,16,2764,0.32,100,0,829.7,2.53693215,33.685585,5841.7296,3170.2378,0,615.325,619.69,5545.5,2.5,0,100,-0.0595,612.875,5
9774,874.78,16,2749,0.32,100,0,830.565,2.5129513,33.553565,6048.7549,3394.4517,0,614.285,619.075,5487,2.5,0,100,-0.0714,612.755,5
9774,879.33,16,2717.5,0.32,100,0,839.565,2.371122,33.471079,6019.3023,3348.2701,0,614.37,619.17,5443,2.5,0,100,-0.0714,612.73,5
9774,883.91,16,2724,0.32,100,0,831.705,2.7834372,33.2235545,5797.5398,3004.66645,0,615.005,619.27,5282.5,2.5,0,100,-0.0714,612.995,5
9774,894.1,16,2764.5,0.32,100,0,828.4,3.3372252,32.821766,5194.9569,2373.769,1,616.475,619.545,5052.5,2.5,15,85,-0.0595,613.195,5
9774,913.63,16,2799,0.32,100,0,819.17,3.3813902,32.411499,4568.1613,2016.7181,1,624.63,621.51,4888.5,2.5,15,85,-0.0952,614.95,5
9774,934.58,16,2770.5,0.32,100,0,820.805,3.45793205,31.6014155,3820.52145,1771.44975,1,662.11,642.605,4504,2.5,15,85,0.0357,632.375,4
9774,963.14,16,2718,0.32,100,0,826.25,2.3394179,32.32489,4261.4264,2198.916,1,659.785,646.37,4579.5,2.5,15,85,1.23102723,635.685,4
9774,971.2,16,2699.5,0.32,100,0,806.565,3.1623309,35.0799805,5745.40165,3108.25955,1,661.115,648.075,4691,2.5,15,85,1.70045446,637.46,4
9774,964.21,16,2734.5,0.32,100,0,792.005,8.5048651,35.233824,4851.0637,2656.3722,1,659.455,649.475,4720.5,2.5,15,85,2.08658169,639.34,5
9774,947.33,16,2722.5,0.32,100,0,779.67,10.820533,32.393116,2772.1514,1570.9055,1,659.165,650.775,4752,2.5,15,85,2.71070892,641.03,5
9774,942.93,16,2700,0.32,100,0,797.3,11.9742135,26.9390525,520.56116,410.579755,1,659.62,652.25,4818.5,2.5,15,85,3.10873615,642.98,5
9774,941.55,16,2675.5,0.32,100,0,781.46,10.834258,24.277961,236.75915,155.30143,1,658.635,652.61,4787,2.5,15,85,3.23306338,644.15,5
9774,930.44,16,2658,0.32,100,0,791.38,10.6785566,23.2110775,214.80419,113.151535,1,656.97,652.61,4719,2.5,15,85,3.70249061,644.975,6
9774,926.56,16,2668,0.32,100,0,796.44,8.9279633,22.286524,164.20304,71.784166,1,658.605,653.63,4717.5,2.5,15,85,3.93391784,646.395,6
9774,925.57,16,2654,0.32,100,0,803.31,8.2172929,22.401789,263.65487,96.901484,1,659.935,655.475,4719.5,2.5,15,85,3.72504507,647.97,6
9774,929.91,16,2635,0.32,100,0,804.41,6.6245839,23.9261325,814.014315,301.36131,1,660.695,655.99,4732.5,2.5,15,85,3.5399723,649.185,6
9774,931.43,15,2627.5,0.29,100,0,807.725,4.6509765,25.880698,1714.3533,698.29954,1,659.175,655.66,4692,2.5,15,85,3.604799531,649.36,6
9774,930.51,15,2627.5,0.29,100,0,808.085,4.0213909,28.088483,2826.9413,1350.641,1,660.17,656.94,4696.5,2.5,15,85,4.014726761,650.64,6
9774,930.32,15,2622,0.29,100,0,812.175,3.7966324,29.8389,3585.9408,1863.5998,1,659.95,657.4,4686,2.5,15,85,3.853453991,651.275,6
9774,929.76,15,2631,0.29,100,0,813.785,4.0106792,30.027912,3577.7201,1874.7886,1,660.55,658.195,4668.5,2.5,15,85,3.894481221,652.485,6
9774,928.4,15,2633,0.29,100,0,813.65,3.78051665,30.2784885,3458.95405,1718.56975,1,661.22,658.625,4636,2.5,15,85,3.816508451,653.26,6
9774,928.35,15,2640,0.29,100,0,817.85,3.8372856,30.400815,3437.6838,1664.0035,1,661.815,658.875,4636,2.5,15,85,3.917035681,653.985,6
9774,926.62,15,2662,0.29,100,0,817.94,3.9387342,30.031446,3417.9233,1613.9807,1,662.48,659.69,4569.5,2.5,15,85,3.981862911,654.85,6
9774,925.67,15,2704,0.29,100,0,814.11,3.8190876,29.932741,3408.67505,1625.8985,1,662.02,659.735,4540,2.5,15,85,4.034790141,655.075,6
9774,927.1,15,2715,0.29,100,0,817.565,4.5636893,29.875102,3158.5631,1487.9974,1,666.205,662.495,4550,2.5,15,85,4.075817371,657.28,6
9774,929.84,15,2709,0.29,100,0,816.64,4.8222245,29.55146,2844.7638,1294.0117,1,665.755,662.735,4592.5,2.5,15,85,3.605144601,657.905,6
9774,930.4,15,2710,0.29,100,0,821.49,5.09008755,29.334076,2444.5472,1081.0489,1,666.52,663.79,4591,2.5,15,85,3.669971831,659.305,6
9774,929.03,15,2723,0.29,100,0,825.145,4.9752192,29.192415,2318.4703,1032.9755,1,665.84,664.075,4557,2.5,15,85,3.722899061,659.755,6
9774,929.25,15,2711.5,0.29,100,0,819.195,4.66614505,29.516746,2530.2674,1166.16005,1,669.3,665.655,4569,2.5,15,85,3.704426291,661.325,6
9774,931.03,15,2706.5,0.29,100,0,826.56,4.3655238,30.197143,2908.2646,1360.6231,1,669.82,666.5,4580,2.5,15,85,3.555053521,662.07,6
9774,932.08,15,2715,0.29,100,0,826.175,4.3242997,30.541581,3100.9465,1446.2592,1,669.585,666.535,4564,2.5,15,85,3.631780751,662.625,6
9774,931.11,15,2724,0.29,100,0,825.17,4.3462306,30.864203,3206.0814,1575.3063,1,670.6,667.25,4525,2.5,15,85,3.720407981,663.605,6
9774,932.92,15,2731,0.29,100,0,826.355,4.2784034,31.156708,3182.2174,1620.2788,1,670.525,667.425,4531.5,2.5,15,85,3.761435211,663.6,6
9774,933.62,15,2735.5,0.29,100,0,829.015,4.3740353,31.056294,2991.2506,1482.13905,1,671.525,668.205,4519.5,2.5,15,85,3.802462441,664.505,6
9774,933.4,15,2733.5,0.29,100,0,830.745,4.5324985,30.958718,2951.124,1415.2793,1,672.935,668.965,4490,2.5,15,85,3.783989671,665.33,6
9774,936.81,15,2719.5,0.29,100,0,829.715,4.4019551,30.924023,2889.1502,1373.1948,1,672.37,669.765,4511.5,2.5,15,85,3.765516901,666.15,6
9774,935.6,15,2714,0.29,100,0,835.28,4.555836,30.823198,2800.3691,1379.69195,1,674.17,670.57,4532,2.5,15,85,3.723244131,667.025,6
9774,933.09,15,2724.5,0.29,100,0,834.335,4.3922309,30.782062,2756.4692,1357.3894,1,674.87,671.31,4527.5,2.5,15,85,3.704771362,667.62,6
9774,933,15,2737,0.29,100,0,837.125,4.5425446,30.902341,2800.89725,1360.3232,1,675.58,671.025,4518.5,2.5,15,85,3.745798592,667.99,6
9774,931.96,15,2757,0.29,100,0,832.59,4.5890047,31.043311,2873.6892,1391.6494,1,676.985,671.535,4468,2.5,15,85,3.822525822,668.575,6
9774,932.44,15,2737,0.29,100,0,833.835,4.6412287,30.877296,2838.6244,1351.3973,1,679.12,673.235,4452.5,2.5,15,85,3.875453052,669.655,6
9774,937.18,15,2748.5,0.29,100,0,835.96,4.4648977,30.620032,2725.2916,1276.014,1,676.52,672.52,4461.5,2.5,15,85,3.773680282,669.33,6
9774,935.14,15,2745,0.29,100,0,836.25,4.5475675,30.556416,2645.0046,1260.0462,1,680.535,673.44,4457.5,2.5,15,85,3.969407512,670.24,6
9774,934.66,15,2742,0.29,100,0,835.96,4.9778283,30.612709,2575.9629,1236.8016,1,679.97,674.855,4446.5,2.5,15,85,3.903334742,671.6,6
9774,936.54,15,2736,0.29,100,0,838.03,4.5737302,30.3081905,2492.90395,1182.12545,1,680.34,674.47,4459.5,2.5,15,85,3.789661972,671.55,6
9774,937.18,15,2766.5,0.29,100,0,839.655,4.6412287,30.066534,2463.9757,1133.3989,1,679.32,674.145,4441.5,2.5,15,85,3.878289202,671.64,6
